"","symbol","company","identifier","sedol","weight","sector","shares_held","local_currency"
"64","NOW","ServiceNow Inc.","81762P10","B80NXX8",0.00338613181571199,"Information Technology",1997181,"USD"
"65","MMM","3M Company","88579Y10","2595708",0.00328693414574815,"Industrials",6011912,"USD"
"66","BLK","BlackRock Inc.","09247X10","2494504",0.00325931201000461,"Financials",1480849,"USD"
"67","GE","General Electric Company","36960410","2380498",0.00324289074031204,"Industrials",90903830,"USD"
"68","CHTR","Charter Communications Inc. Class A","16119P10","BZ6VT82",0.00323877042172901,"Communication Services",1561792,"USD"
"69","AMT","American Tower Corporation","03027X10","B7FBFL2",0.00320211758773188,"Real Estate",4631018,"USD"
"70","CAT","Caterpillar Inc.","14912310","2180201",0.00318545629948108,"Industrials",5651687,"USD"
"71","INTU","Intuit Inc.","46120210","2459020",0.0031199412338562,"Information Technology",2731079,"USD"
"72","CVS","CVS Health Corporation","12665010","2577609",0.00310828033223529,"Health Care",13658990,"USD"
"73","MS","Morgan Stanley","61744644","2262314",0.00302816413765112,"Financials",14911461,"USD"
"74","FIS","Fidelity National Information Services Inc.","31620M10","2769796",0.00300695249756711,"Information Technology",6470220,"USD"
"75","ISRG","Intuitive Surgical Inc.","46120E60","2871301",0.00291798561864803,"Health Care",1221433,"USD"
"76","LMT","Lockheed Martin Corporation","53983010","2522096",0.00287674242972467,"Industrials",2568571,"USD"
"77","TGT","Target Corporation","87612E10","2259101",0.00283874949211073,"Consumer Discretionary",5225000,"USD"
"78","BKNG","Booking Holdings Inc.","09857L10","BDRXDB4",0.00283487919285919,"Consumer Discretionary",427371,"USD"
"79","GS","Goldman Sachs Group Inc.","38141G10","2407966",0.00276705394861131,"Financials",3592632,"USD"
"80","MDLZ","Mondelez International Inc. Class A","60920710","B8CKK03",0.00268746779500991,"Consumer Staples",14914037,"USD"
"81","AMAT","Applied Materials Inc.","03822210","2046552",0.00264130422564273,"Information Technology",9536171,"USD"
"82","MO","Altria Group Inc","02209S10","2692632",0.00262619305724719,"Consumer Staples",19402564,"USD"
"83","TJX","TJX Companies Inc","87254010","2989301",0.002623452845374,"Consumer Discretionary",12514611,"USD"
"84","AXP","American Express Company","02581610","2026082",0.00261477217418451,"Financials",6809888,"USD"
"85","DE","Deere & Company","24419910","2261203",0.00261237198860216,"Industrials",3270682,"USD"
"86","MU","Micron Technology Inc.","59511210","2588184",0.00260559146433202,"Information Technology",11599366,"USD"
"87","ANTM","Anthem Inc.","03675210","BSPHGL4",0.00259668077535755,"Health Care",2626216,"USD"
"88","SPGI","S&P Global Inc.","78409V10","BYV2325",0.00258362976625353,"Financials",2516137,"USD"
"89","CI","Cigna Corporation","12552310","BHJ0775",0.00256939866590485,"Health Care",3834083,"USD"
"90","SYK","Stryker Corporation","86366710","2853688",0.00252851550481883,"Health Care",3412349,"USD"
"91","TMUS","T-Mobile US Inc.","87259010","B94Q9V0",0.00249909322988854,"Communication Services",6073918,"USD"
"92","GILD","Gilead Sciences Inc.","37555810","2369174",0.00249382282238063,"Health Care",13090767,"USD"
"93","ZTS","Zoetis Inc. Class A","98978V10","B95WG16",0.0024705010191388,"Health Care",4957866,"USD"
"94","SCHW","Charles Schwab Corporation","80851310","2779397",0.00243935861120782,"Financials",15450191,"USD"
"95","ADP","Automatic Data Processing Inc.","05301510","2065308",0.00243325813951935,"Information Technology",4489056,"USD"
"96","CL","Colgate-Palmolive Company","19416210","2209106",0.00237821388349747,"Consumer Staples",8921292,"USD"
"97","PLD","Prologis Inc.","74340W10","B44WZD7",0.00235513209881388,"Real Estate",7690144,"USD"
"98","LRCX","Lam Research Corporation","51280710","2502247",0.00232826002106483,"Information Technology",1507292,"USD"
"99","BDX","Becton Dickinson and Company","07588710","2087807",0.00231150872585468,"Health Care",3026807,"USD"
"100","FDX","FedEx Corporation","31428X10","2142784",0.00230727839876579,"Industrials",2516817,"USD"
"101","CB","Chubb Limited","H1467J10","B3BQMF6",0.00228660680043781,"Financials",4721390,"USD"
"102","CSX","CSX Corporation","12640810","2160753",0.0022655451719527,"Industrials",7987782,"USD"
"103","DUK","Duke Energy Corporation","26441C20","B7VD3F2",0.00221962162114375,"Utilities",7675751,"USD"
"104","CCI","Crown Castle International Corp","22822V10","BTGQCX1",0.00216226718649886,"Real Estate",4364122,"USD"
"105","CME","CME Group Inc. Class A","12572Q10","2965839",0.0021461159376843,"Financials",3731925,"USD"
"106","TFC","Truist Financial Corporation","89832Q10","BKP7287",0.00212536433317024,"Financials",14065019,"USD"
"107","ATVI","Activision Blizzard Inc.","00507V10","2575818",0.00211349341531087,"Communication Services",8069424,"USD"
"108","SO","Southern Company","84258710","2829601",0.0021016224974515,"Utilities",11022893,"USD"
"109","FISV","Fiserv Inc.","33773810","2342034",0.00210018238610209,"Information Technology",5803588,"USD"
"110","USB","U.S. Bancorp","90297330","2736035",0.00207942078081477,"Financials",14306989,"USD"
"111","D","Dominion Energy Inc","25746U10","2542049",0.00205370879276386,"Utilities",8768591,"USD"
"112","ADSK","Autodesk Inc.","05276910","2065159",0.00202886687198654,"Information Technology",2289790,"USD"
"113","ICE","Intercontinental Exchange Inc.","45866F10","BFSSDS9",0.00201754599665646,"Financials",5860532,"USD"
"114","PNC","PNC Financial Services Group Inc.","69347510","2692665",0.00201046544918853,"Financials",4430570,"USD"
"115","EQIX","Equinix Inc.","29444U70","BVLZX12",0.00200111472619063,"Real Estate",924310,"USD"
"116","NSC","Norfolk Southern Corporation","65584410","2641894",0.00198542351294602,"Industrials",2663897,"USD"
"117","APD","Air Products and Chemicals Inc.","00915810","2011602",0.0019464805018724,"Materials",2297654,"USD"
"118","SHW","Sherwin-Williams Company","82434810","2804211",0.0019411600904982,"Materials",855723,"USD"
"119","MMC","Marsh & McLennan Companies Inc.","57174810","2567741",0.00192285867543278,"Financials",5288711,"USD"
"120","VRTX","Vertex Pharmaceuticals Incorporated","92532F10","2931034",0.00191681820838387,"Health Care",2714883,"USD"
"121","ITW","Illinois Tool Works Inc.","45230810","2457552",0.00191679820683735,"Industrials",3002886,"USD"
"122","GPN","Global Payments Inc.","37940X10","2712013",0.00191515808002275,"Information Technology",3129816,"USD"
"123","EL","Estee Lauder Companies Inc. Class A","51843910","2320524",0.00182858138591276,"Consumer Staples",2353645,"USD"
"124","ECL","Ecolab Inc.","27886510","2304227",0.00182017073560128,"Materials",2589088,"USD"
"125","PGR","Progressive Corporation","74331510","2705024",0.00180915988424225,"Financials",6094256,"USD"
"126","EW","Edwards Lifesciences Corporation","28176E10","2567116",0.00177613733093843,"Health Care",6497614,"USD"
"127","GM","General Motors Company","37045V10","B665KZ5",0.00177086692343052,"Consumer Discretionary",13107723,"USD"
"128","HUM","Humana Inc.","44485910","2445063",0.00172626347469186,"Health Care",1378122,"USD"
"129","ADI","Analog Devices Inc.","03265410","2032067",0.00170800206271949,"Information Technology",3836226,"USD"
"130","DG","Dollar General Corporation","25667710","B5B1S13",0.00168694043423438,"Consumer Discretionary",2600172,"USD"
"131","ILMN","Illumina Inc.","45232710","2613990",0.00165060762498156,"Health Care",1523866,"USD"
"132","REGN","Regeneron Pharmaceuticals Inc.","75886F10","2730190",0.00164761739377689,"Health Care",1091529,"USD"
"133","DD","DuPont de Nemours Inc.","26614N10","BK0VN47",0.00160731427753994,"Materials",7661581,"USD"
"134","BSX","Boston Scientific Corporation","10113710","2113434",0.00160323396204995,"Health Care",14962867,"USD"
"135","EMR","Emerson Electric Co.","29101110","2313405",0.00159919364965299,"Industrials",6237154,"USD"
"136","AON","Aon Plc Class A","G0403H10","BLP1HW5",0.00157219156185156,"Financials",2418953,"USD"
"137","NEM","Newmont Corporation","65163910","2636607",0.00156317086437123,"Materials",8381618,"USD"
"138","COP","ConocoPhillips","20825C10","2685717",0.00155744042129337,"Energy",11231952,"USD"
"139","NOC","Northrop Grumman Corporation","66680710","2648806",0.00152263773034931,"Industrials",1619008,"USD"
"140","ETN","Eaton Corp. Plc","G2918310","B8KQN82",0.00151535716741618,"Industrials",4175866,"USD"
"141","KMB","Kimberly-Clark Corporation","49436810","2491839",0.00150382627584765,"Consumer Staples",3559549,"USD"
"142","WM","Waste Management Inc.","94106L10","2937667",0.00147161378517787,"Industrials",4062742,"USD"
"143","MCO","Moody's Corporation","61536910","2252058",0.00145464247295601,"Financials",1684742,"USD"
"144","COF","Capital One Financial Corporation","14040H10","2654461",0.00142252999001883,"Financials",4768099,"USD"
"145","ROP","Roper Technologies Inc.","77669610","2749602",0.00141491940156813,"Industrials",1081877,"USD"
"146","HCA","HCA Healthcare Inc","40412C10","B4MGBG6",0.00140504863836072,"Health Care",2755720,"USD"
"147","CTSH","Cognizant Technology Solutions Corporation Class A","19244610","2257019",0.00139837812259644,"Information Technology",5661306,"USD"
"148","AEP","American Electric Power Company Inc.","02553710","2026242",0.00133736340493847,"Utilities",5145149,"USD"
"149","LHX","L3Harris Technologies Inc","50243110","BK9DTN5",0.00133585328817624,"Industrials",2260762,"USD"
"150","ROST","Ross Stores Inc.","77829610","2746711",0.00132879274225483,"Consumer Discretionary",3720896,"USD"
"151","TWTR","Twitter Inc.","90184L10","BFLR866",0.00132588251723623,"Communication Services",8215726,"USD"
"152","DOW","Dow Inc.","26055710","BHXCF84",0.00132489244068351,"Materials",7723922,"USD"
"153","BAX","Baxter International Inc.","07181310","2085102",0.00131850194657051,"Health Care",5285329,"USD"
"154","EXC","Exelon Corporation","30161N10","2670519",0.00131418161252228,"Utilities",10121726,"USD"
"155","KLAC","KLA Corporation","48248010","2480138",0.00130967126378212,"Information Technology",1623505,"USD"
"156","SYY","Sysco Corporation","87182910","2868165",0.00129278995851959,"Consumer Staples",5311083,"USD"
"157","TEL","TE Connectivity Ltd.","H8498910","B62B7C3",0.00128667948605786,"Information Technology",3446336,"USD"
"158","EA","Electronic Arts Inc.","28551210","2310194",0.00127973894941557,"Communication Services",3015190,"USD"
"159","APH","Amphenol Corporation Class A","03209510","2145084",0.00127861886281047,"Information Technology",3087508,"USD"
"160","IDXX","IDEXX Laboratories Inc.","45168D10","2459202",0.00127080825889458,"Health Care",887690,"USD"
"161","BIIB","Biogen Inc.","09062X10","2455965",0.0012658278738112,"Health Care",1653104,"USD"
"162","SRE","Sempra Energy","81685110","2138158",0.0012252647374695,"Utilities",3020281,"USD"
"163","CMG","Chipotle Mexican Grill Inc.","16965610","B0X7DZ3",0.00121185370052813,"Consumer Discretionary",291933,"USD"
"164","A","Agilent Technologies Inc.","00846U10","2520153",0.00120905348401538,"Health Care",3229161,"USD"
"165","MET","MetLife Inc.","59156R10","2573209",0.00120714333632276,"Financials",8055707,"USD"
"166","ALGN","Align Technology Inc.","01625510","2679204",0.00119969276024422,"Health Care",748805,"USD"
"167","FCX","Freeport-McMoRan Inc.","35671D85","2352118",0.00118454158875564,"Materials",15119813,"USD"
"168","CNC","Centene Corporation","15135B10","2807061",0.00117102054330841,"Health Care",6060791,"USD"
"169","F","Ford Motor Company","34537086","2615468",0.0011685603530865,"Consumer Discretionary",40658584,"USD"
"170","GIS","General Mills Inc.","37033410","2367026",0.00116776029122572,"Consumer Staples",6294394,"USD"
"171","SNPS","Synopsys Inc.","87160710","2867719",0.00116539010796315,"Information Technology",1579195,"USD"
"172","MSCI","MSCI Inc. Class A","55354G10","B2972D2",0.00116323994171229,"Financials",873445,"USD"
"173","MCHP","Microchip Technology Incorporated","59501710","2592174",0.00116218986052002,"Information Technology",2635879,"USD"
"174","PH","Parker-Hannifin Corporation","70109410","2671501",0.00115636941048282,"Industrials",1337046,"USD"
"175","XLNX","Xilinx Inc.","98391910","2985677",0.00115449926588324,"Information Technology",2546543,"USD"
"176","MAR","Marriott International Inc. Class A","57190320","2210614",0.00115310915840013,"Consumer Discretionary",2776827,"USD"
"177","GD","General Dynamics Corporation","36955010","2365161",0.0011495088800266,"Industrials",2425753,"USD"
"178","DLR","Digital Realty Trust Inc.","25386810","B03GQS4",0.00114815877563653,"Real Estate",2809914,"USD"
"179","TRV","Travelers Companies Inc.","89417E10","2769503",0.00114051818486605,"Financials",2647267,"USD"
"180","STZ","Constellation Brands Inc. Class A","21036P10","2170473",0.00113813800083022,"Consumer Staples",1742251,"USD"
"181","AIG","American International Group Inc.","02687478","2027342",0.00112512699481924,"Financials",8990761,"USD"
"182","JCI","Johnson Controls International plc","G5150210","BY7QL61",0.00112181673887025,"Industrials",7791059,"USD"
"183","XEL","Xcel Energy Inc.","98389B10","2614807",0.00112114668706184,"Utilities",5458109,"USD"
"184","TROW","T. Rowe Price Group","74144T10","2702337",0.00111493620686752,"Financials",2369027,"USD"
"185","PPG","PPG Industries Inc.","69350610","2698470",0.00111155594550571,"Materials",2460879,"USD"
"186","APTV","Aptiv PLC","G6095L10","B783TY6",0.00110318529828726,"Consumer Discretionary",2819656,"USD"
"187","INFO","IHS Markit Ltd.","G4756710","BD0Q558",0.00110113513976901,"Industrials",3894879,"USD"
"188","BK","Bank of New York Mellon Corporation","06405810","B1Z77F6",0.00109971502996612,"Financials",8437151,"USD"
"189","TT","Trane Technologies plc","G8994E10","BK9ZQ96",0.00109763486912808,"Industrials",2501802,"USD"
"190","DXCM","DexCom Inc.","25213110","B0796X4",0.00109363455982417,"Health Care",999544,"USD"
"191","ORLY","O'Reilly Automotive Inc.","67103H10","B65LWX6",0.0010863639976643,"Consumer Discretionary",772922,"USD"
"192","PSA","Public Storage","74460D10","2852533",0.00108396381208195,"Real Estate",1588147,"USD"
"193","ALL","Allstate Corporation","02000210","2019952",0.0010833037610468,"Financials",3260777,"USD"
"194","EBAY","eBay Inc.","27864210","2293819",0.00108111359170291,"Consumer Discretionary",6916477,"USD"
"195","CDNS","Cadence Design Systems Inc.","12738710","2302232",0.00108106358783661,"Information Technology",2920744,"USD"
"196","TDG","TransDigm Group Incorporated","89364110","B11FJK3",0.00107157285401307,"Industrials",565765,"USD"
"197","MNST","Monster Beverage Corporation","61174X10","BZ07BW4",0.00106937268389592,"Consumer Staples",3854749,"USD"
"198","CMI","Cummins Inc.","23102110","2240202",0.00106899265451205,"Industrials",1545032,"USD"
"199","SLB","Schlumberger NV","80685710","2779201",0.00106226213410821,"Energy",14417285,"USD"
"200","IQV","IQVIA Holdings Inc","46266C10","BDR73G1",0.00106031198332255,"Health Care",1997138,"USD"
"201","YUM","Yum! Brands Inc.","98849810","2098876",0.00105637167865819,"Consumer Discretionary",3148654,"USD"
"202","HPQ","HP Inc.","40434L10","BYX4D52",0.00104718096803245,"Information Technology",14341375,"USD"
"203","EOG","EOG Resources Inc.","26875P10","2318024",0.00104426074224059,"Energy",6060074,"USD"
"204","PRU","Prudential Financial Inc.","74432010","2819118",0.00103936036334329,"Financials",4124656,"USD"
"205","VRSK","Verisk Analytics Inc","92345Y10","B4P9W92",0.00102990963261279,"Industrials",1700369,"USD"
"206","PSX","Phillips 66","71854610","B78C4Y8",0.0010209289382255,"Energy",4571839,"USD"
"207","SBAC","SBA Communications Corp. Class A","78410G10","BZ6TS23",0.00101467845493814,"Real Estate",1168271,"USD"
"208","BLL","Ball Corporation","05849810","2073022",0.00100405763373624,"Materials",3416318,"USD"
"209","CARR","Carrier Global Corp.","14448C10","BK4N0D7",0.0010032475711022,"Industrials",8480292,"USD"
"210","CTAS","Cintas Corporation","17290810","2197137",0.000993856845011256,"Industrials",907930,"USD"
"211","AFL","Aflac Incorporated","00105510","2026361",0.000989356497044351,"Financials",6922634,"USD"
"212","WBA","Walgreens Boots Alliance Inc","93142710","BTN1Y44",0.000985736217124308,"Consumer Staples",7510033,"USD"
"213","ZBH","Zimmer Biomet Holdings Inc.","98956P10","2783815",0.000985536201659112,"Health Care",2142137,"USD"
"214","HLT","Hilton Worldwide Holdings Inc","43300A20","BYVMW06",0.000979615743889318,"Consumer Discretionary",2895393,"USD"
"215","RMD","ResMed Inc.","76115210","2732903",0.000977385571452385,"Health Care",1485861,"USD"
"216","PCAR","PACCAR Inc","69371810","2665861",0.000969334948978255,"Industrials",3587049,"USD"
"217","SPG","Simon Property Group Inc.","82880610","2812452",0.000967064773448283,"Real Estate",3393044,"USD"
"218","MSI","Motorola Solutions Inc.","62007630","B5BKPQ4",0.000959744207422118,"Information Technology",1772050,"USD"
"219","PAYX","Paychex Inc.","70432610","2674458",0.000955043843990017,"Information Technology",3317843,"USD"
"220","CTVA","Corteva Inc","22052L10","BK73B42",0.000951413563296714,"Materials",7792995,"USD"
"221","ES","Eversource Energy","30040W10","BVVN4Q8",0.000951103539325661,"Utilities",3522036,"USD"
"222","WEC","WEC Energy Group Inc","92939U10","BYY8XK8",0.000947623270231254,"Utilities",3269179,"USD"
"223","MCK","McKesson Corporation","58155Q10","2378534",0.000942332861176826,"Health Care",1682920,"USD"
"224","KMI","Kinder Morgan Inc Class P","49456B10","B3NQ4P8",0.000940922752147196,"Energy",20187558,"USD"
"225","ANSS","ANSYS Inc.","03662Q10","2045623",0.000938152537954235,"Information Technology",891191,"USD"
"226","ROK","Rockwell Automation Inc.","77390310","2754060",0.000935172307522818,"Industrials",1202530,"USD"
"227","PEG","Public Service Enterprise Group Inc","74457310","2707677",0.000934732273499387,"Utilities",5240426,"USD"
"228","MPC","Marathon Petroleum Corporation","56585A10","B3K3L40",0.000934072222464241,"Energy",6762470,"USD"
"229","SWK","Stanley Black & Decker Inc.","85450210","B3Q2FJ4",0.000933392169882575,"Industrials",1667325,"USD"
"230","GLW","Corning Inc","21935010","2224701",0.000930621955689614,"Information Technology",7944701,"USD"
"231","VFC","V.F. Corporation","91820410","2928683",0.000914510709968095,"Consumer Discretionary",3339362,"USD"
"232","MTD","Mettler-Toledo International Inc.","59268810","2126249",0.000909370312512564,"Health Care",250525,"USD"
"233","LUV","Southwest Airlines Co.","84474110","2831543",0.000908360234413325,"Industrials",6158996,"USD"
"234","FAST","Fastenal Company","31190010","2332262",0.000905870041871637,"Industrials",5940285,"USD"
"235","ADM","Archer-Daniels-Midland Company","03948310","2047317",0.000898489471205914,"Consumer Staples",5794858,"USD"
"236","DAL","Delta Air Lines Inc.","24736170","B1W9D46",0.000894589169634596,"Industrials",6660452,"USD"
"237","WELL","Welltower Inc.","95040Q10","BYVYHH4",0.000882308220071576,"Real Estate",4372512,"USD"
"238","AME","AMETEK Inc.","03110010","2089212",0.000880338067739398,"Industrials",2360362,"USD"
"239","AZO","AutoZone Inc.","05333210","2065955",0.000876517772354158,"Consumer Discretionary",244439,"USD"
"240","AWK","American Water Works Company Inc.","03042010","B2R3PV1",0.000875577699667738,"Utilities",1876386,"USD"
"241","WLTW","Willis Towers Watson Public Limited Company","G9662910","BDB6Q21",0.000872707477742179,"Financials",1338967,"USD"
"242","WMB","Williams Companies Inc.","96945710","2967181",0.000870357296026129,"Energy",12553715,"USD"
"243","ALXN","Alexion Pharmaceuticals Inc.","01535110","2036070",0.000857206279189507,"Health Care",2288277,"USD"
"244","OTIS","Otis Worldwide Corporation","68902V10","BK531S8",0.000851605846164025,"Industrials",4222365,"USD"
"245","DFS","Discover Financial Services","25470910","B1YLC43",0.000848625615732608,"Financials",3199669,"USD"
"246","DLTR","Dollar Tree Inc.","25674610","2272476",0.000842255123166123,"Consumer Discretionary",2468032,"USD"
"247","STT","State Street Corporation","85747710","2842040",0.000833214424139274,"Financials",3685991,"USD"
"248","CLX","Clorox Company","18905410","2204026",0.000826253885950462,"Consumer Staples",1307008,"USD"
"249","VLO","Valero Energy Corporation","91913Y10","2041364",0.000806622368041497,"Energy",4275197,"USD"
"250","SWKS","Skyworks Solutions Inc.","83088M10","2961053",0.00080126195357425,"Information Technology",1746986,"USD"
"251","ED","Consolidated Edison Inc.","20911510","2216850",0.000800881924190378,"Utilities",3464673,"USD"
"252","KR","Kroger Co.","50104410","2497406",0.00079890177108494,"Consumer Staples",8122584,"USD"
"253","EIX","Edison International","28102010","2829515",0.000784420651404767,"Utilities",3958535,"USD"
"254","DTE","DTE Energy Company","23333110","2280220",0.000782720519950603,"Utilities",1999443,"USD"
"255","CPRT","Copart Inc.","21720410","2208073",0.000773059772981647,"Industrials",2137755,"USD"
"256","WY","Weyerhaeuser Company","96216610","2958936",0.000772589736638437,"Real Estate",7721442,"USD"
"257","BBY","Best Buy Co. Inc.","08651610","2094670",0.00077197968946959,"Consumer Discretionary",2377598,"USD"
"258","KEYS","Keysight Technologies Inc","49338L10","BQZJ0Q9",0.000766369255670849,"Information Technology",1949204,"USD"
"259","FTV","Fortive Corp.","34959J10","BYT3MK1",0.000764479109524748,"Industrials",3519294,"USD"
"260","AMP","Ameriprise Financial Inc.","03076C10","B0J7D57",0.000763279016733574,"Financials",1255919,"USD"
"261","DHI","D.R. Horton Inc.","23331A10","2250687",0.0007620289200761,"Consumer Discretionary",3455860,"USD"
"262","FLT","FLEETCOR Technologies Inc.","33904110","B4R28B3",0.000755638425963096,"Information Technology",877052,"USD"
"263","AJG","Arthur J. Gallagher & Co.","36357610","2359506",0.000747767817407642,"Financials",1985455,"USD"
"264","MKC","McCormick & Company Incorporated","57978020","2550161",0.0007450176047612,"Consumer Staples",2540642,"USD"
"265","AVB","AvalonBay Communities Inc.","05348410","2131179",0.000744177539807378,"Real Estate",1452991,"USD"
"266","LYB","LyondellBasell Industries NV","N5374510","B3SPXZ3",0.000743317473307036,"Materials",2673931,"USD"
"267","CERN","Cerner Corporation","15678210","2185284",0.000742927443149904,"Health Care",3187051,"USD"
"268","MXIM","Maxim Integrated Products Inc.","57772K10","2573760",0.00074217738515542,"Information Technology",2786414,"USD"
"269","HSY","Hershey Company","42786610","2422806",0.000728836353626862,"Consumer Staples",1544915,"USD"
"270","CBRE","CBRE Group Inc. Class A","12504L10","B6WVMH3",0.000728686342027966,"Real Estate",3485975,"USD"
"271","KHC","Kraft Heinz Company","50075410","BYRY499",0.00072704621521336,"Consumer Staples",6765555,"USD"
"272","EFX","Equifax Inc.","29442910","2319146",0.000724125989421502,"Industrials",1252958,"USD"
"273","FRC","First Republic Bank","33616C10","B4WHY15",0.000720485707954939,"Financials",1754315,"USD"
"274","PPL","PPL Corporation","69351T10","2680905",0.000710324922322994,"Utilities",8015602,"USD"
"275","VTRS","Viatris Inc.","92556V10","BMWS3X9",0.000699284068644188,"Health Care",12543626,"USD"
"276","VRSN","VeriSign Inc.","92343E10","2142922",0.000690843416012926,"Information Technology",1055200,"USD"
"277","TTWO","Take-Two Interactive Software Inc.","87405410","2122117",0.000689583318582193,"Communication Services",1165034,"USD"
"278","PAYC","Paycom Software Inc.","70432V10","BL95MY0",0.000687783179395431,"Information Technology",511128,"USD"
"279","CHD","Church & Dwight Co. Inc.","17134010","2195841",0.000685523004638719,"Consumer Staples",2549284,"USD"
"280","MKTX","MarketAxess Holdings Inc.","57060D10","B03Q9D0",0.000682322757195586,"Financials",392535,"USD"
"281","O","Realty Income Corporation","75610910","2724193",0.000676062273134959,"Real Estate",3579610,"USD"
"282","ETR","Entergy Corporation","29364G10","2317087",0.000674862180343784,"Utilities",2073853,"USD"
"283","EQR","Equity Residential","29476L10","2319157",0.000673712091418908,"Real Estate",3575530,"USD"
"284","TSN","Tyson Foods Inc. Class A","90249410","2909730",0.000672421991668396,"Consumer Staples",3074094,"USD"
"285","VIAC","ViacomCBS Inc. Class B","92556H20","BKTNTR9",0.000665441451933063,"Communication Services",5886714,"USD"
"286","LH","Laboratory Corporation of America Holdings","50540R40","2586122",0.00066184117355954,"Health Care",1011673,"USD"
"287","ARE","Alexandria Real Estate Equities Inc.","01527110","2009210",0.000659841018907582,"Real Estate",1224380,"USD"
"288","ZBRA","Zebra Technologies Corporation Class A","98920710","2989356",0.000658120885906898,"Information Technology",556684,"USD"
"289","LEN","Lennar Corporation Class A","52605710","2511920",0.000653250509329381,"Consumer Discretionary",2867480,"USD"
"290","HOLX","Hologic Inc.","43644010","2433530",0.00064955022322326,"Health Care",2703156,"USD"
"291","FITB","Fifth Third Bancorp","31677310","2336747",0.000649340206984804,"Financials",7417165,"USD"
"292","ETSY","Etsy Inc.","29786A10","BWTN5N1",0.000649000180693971,"Consumer Discretionary",1245864,"USD"
"293","WST","West Pharmaceutical Services Inc.","95530610","2950482",0.000647770085583017,"Health Care",770804,"USD"
"294","PXD","Pioneer Natural Resources Company","72378710","2690830",0.000647600072437601,"Energy",1729903,"USD"
"295","RSG","Republic Services Inc.","76075910","2262530",0.000646539990472063,"Industrials",2194467,"USD"
"296","TER","Teradyne Inc.","88077010","2884183",0.000631988865379071,"Information Technology",1733600,"USD"
"297","IP","International Paper Company","46014610","2465254",0.000628118566127533,"Materials",4097735,"USD"
"298","NTRS","Northern Trust Corporation","66585910","2648668",0.000628058561487974,"Financials",2172846,"USD"
"299","ODFL","Old Dominion Freight Line Inc.","67958010","2656423",0.000622878160939404,"Industrials",994714,"USD"
"300","LVS","Las Vegas Sands Corp.","51783410","B02T2J7",0.0006192978841124,"Consumer Discretionary",3429569,"USD"
"301","CDW","CDW Corp.","12514G10","BBM5MD6",0.000618067789001446,"Information Technology",1489062,"USD"
"302","AEE","Ameren Corporation","02360810","2050832",0.000617807768896691,"Utilities",2534803,"USD"
"303","OKE","ONEOK Inc.","68268010","2130109",0.000610257185085551,"Energy",4638198,"USD"
"304","KSU","Kansas City Southern","48517030","2607647",0.000605016779897422,"Industrials",984783,"USD"
"305","SIVB","SVB Financial Group","78486Q10","2808053",0.000601186483738923,"Financials",539301,"USD"
"306","AMCR","Amcor PLC","G0250X10","BJ1F307",0.000599046318261328,"Materials",16486480,"USD"
"307","VMC","Vulcan Materials Company","92916010","2931205",0.00059751619995258,"Materials",1376338,"USD"
"308","GWW","W.W. Grainger Inc.","38480210","2380863",0.000595796066951897,"Industrials",469916,"USD"
"309","QRVO","Qorvo Inc.","74736K10","BR9YYP4",0.000595136015916751,"Information Technology",1192742,"USD"
"310","VTR","Ventas Inc.","92276F10","2927925",0.00059234580017727,"Real Estate",3849344,"USD"
"311","TYL","Tyler Technologies Inc.","90225210","2909644",0.0005899756169147,"Information Technology",416400,"USD"
"312","OXY","Occidental Petroleum Corporation","67459910","2655408",0.000587025388803062,"Energy",8741095,"USD"
"313","SYF","Synchrony Financial","87165B10","BP96PS6",0.000584415186982257,"Financials",5622936,"USD"
"314","EXPE","Expedia Group Inc.","30212P30","B748CK2",0.000582585045475716,"Consumer Discretionary",1416907,"USD"
"315","TFX","Teleflex Incorporated","87936910","2881407",0.00058096492020763,"Health Care",480897,"USD"
