"","symbol","company","identifier","sedol","weight","sector","shares_held","local_currency"
"376","TIF","Tiffany & Co.","88654710","2892090",0.000462435755532618,"Consumer Discretionary",1118015,"USD"
"377","LDOS","Leidos Holdings Inc.","52532710","BDV82B8",0.000458985488757991,"Information Technology",1389481,"USD"
"378","NVR","NVR Inc.","62944T10","2637785",0.000457785395966816,"Consumer Discretionary",36396,"USD"
"379","OMC","Omnicom Group Inc","68191910","2279303",0.000457315359623606,"Communication Services",2268829,"USD"
"380","BF.B","Brown-Forman Corporation Class B","11563720","2146838",0.000455485218117065,"Consumer Staples",1898029,"USD"
"381","IT","Gartner Inc.","36665110","2372763",0.000455205196465791,"Information Technology",925862,"USD"
"382","AES","AES Corporation","00130H10","2002479",0.000451704925824865,"Utilities",6874603,"USD"
"383","MAA","Mid-America Apartment Communities Inc.","59522J10","2589132",0.000447774621933768,"Real Estate",1182279,"USD"
"384","NTAP","NetApp Inc.","64110D10","2630643",0.000446444519090216,"Information Technology",2317812,"USD"
"385","WAB","Westinghouse Air Brake Technologies Corporation","92974010","2955733",0.000443624301030956,"Industrials",1866974,"USD"
"386","POOL","Pool Corporation","73278L10","2781585",0.00043725380846447,"Consumer Discretionary",418676,"USD"
"387","HBAN","Huntington Bancshares Incorporated","44615010","2445966",0.000435993711033737,"Financials",10617686,"USD"
"388","SJM","J.M. Smucker Company","83269640","2951452",0.000431183339095779,"Consumer Staples",1180816,"USD"
"389","HRL","Hormel Foods Corporation","44045210","2437264",0.000426192953239144,"Consumer Staples",2902154,"USD"
"390","PFG","Principal Financial Group Inc.","74251V10","2803014",0.000423252725900767,"Financials",2695822,"USD"
"391","CXO","Concho Resources Inc.","20605P10","B1YWRK7",0.000419882465312218,"Energy",2083111,"USD"
"392","PKG","Packaging Corporation of America","69515610","2504566",0.000419422429742268,"Materials",981777,"USD"
"393","MGM","MGM Resorts International","55295310","2547419",0.000416712220188865,"Consumer Discretionary",4275153,"USD"
"394","EVRG","Evergy Inc.","30034W10","BFMXGR0",0.000413691986664409,"Utilities",2382434,"USD"
"395","AVY","Avery Dennison Corporation","05361110","2066408",0.000413341959600316,"Materials",869767,"USD"
"396","CHRW","C.H. Robinson Worldwide Inc.","12541W20","2116228",0.000411691832012451,"Industrials",1408960,"USD"
"397","LNT","Alliant Energy Corp","01880210","2973821",0.000409821687412871,"Utilities",2507589,"USD"
"398","CINF","Cincinnati Financial Corporation","17206210","2196888",0.000398400804350192,"Financials",1561317,"USD"
"399","IFF","International Flavors & Fragrances Inc.","45950610","2464165",0.000395280563093138,"Materials",1114039,"USD"
"400","ABMD","ABIOMED Inc.","00365410","2003698",0.000395250560773359,"Health Care",468114,"USD"
"401","CNP","CenterPoint Energy Inc.","15189T10","2440637",0.00039190030173133,"Utilities",5704520,"USD"
"402","BIO","Bio-Rad Laboratories Inc. Class A","09057220","2098508",0.000391230249922924,"Health Care",223775,"USD"
"403","XRAY","DENTSPLY SIRONA Inc.","24906P10","BYNPPC6",0.000388720055834717,"Health Care",2280403,"USD"
"404","ATO","Atmos Energy Corporation","04956010","2315359",0.000385619816124183,"Utilities",1246439,"USD"
"405","JKHY","Jack Henry & Associates Inc.","42628110","2469193",0.000385209784420531,"Information Technology",794550,"USD"
"406","FBHS","Fortune Brands Home & Security Inc.","34964C10","B3MC7D6",0.000381409490581812,"Industrials",1441853,"USD"
"407","CCL","Carnival Corporation","14365830","2523044",0.000380379410936054,"Consumer Discretionary",5407743,"USD"
"408","NLOK","NortonLifeLock Inc.","66877110","BJN4XN5",0.00037961935216831,"Information Technology",6171203,"USD"
"409","RJF","Raymond James Financial Inc.","75473010","2718992",0.000376519112457775,"Financials",1289556,"USD"
"410","JBHT","J.B. Hunt Transport Services Inc.","44565810","2445416",0.000375759053690031,"Industrials",870205,"USD"
"411","WHR","Whirlpool Corporation","96332010","2960384",0.000375689048277213,"Consumer Discretionary",653540,"USD"
"412","PHM","PulteGroup Inc.","74586710","2708841",0.00037205876758391,"Consumer Discretionary",2800340,"USD"
"413","HAS","Hasbro Inc.","41805610","2414580",0.000371618733560479,"Consumer Discretionary",1329758,"USD"
"414","WRK","WestRock Company","96145D10","BYR0914",0.000369438564989845,"Materials",2669793,"USD"
"415","UDR","UDR Inc.","90265310","2727910",0.000368998530966414,"Real Estate",3054754,"USD"
"416","LW","Lamb Weston Holdings Inc.","51327210","BDQZFJ3",0.000366338325279311,"Consumer Staples",1521735,"USD"
"417","TXT","Textron Inc.","88320310","2885937",0.000363488104900271,"Industrials",2401425,"USD"
"418","AAP","Advance Auto Parts Inc.","00751Y10","2822019",0.000360357862869957,"Consumer Discretionary",722715,"USD"
"419","WYNN","Wynn Resorts Limited","98313410","2963811",0.000357107611560526,"Consumer Discretionary",1003866,"USD"
"420","UHS","Universal Health Services Inc. Class B","91390310","2923785",0.000346076758654979,"Health Care",811225,"USD"
"421","HST","Host Hotels & Resorts Inc.","44107P10","2567503",0.000344016599363463,"Real Estate",7360915,"USD"
"422","L","Loews Corporation","54042410","2523022",0.000342316467909299,"Financials",2487933,"USD"
"423","ALLE","Allegion PLC","G0176J10","BFRT3W7",0.000340056293152587,"Industrials",975206,"USD"
"424","LKQ","LKQ Corporation","50188920","2971029",0.000336896048802493,"Consumer Discretionary",2923260,"USD"
"425","FFIV","F5 Networks Inc.","31561610","2427599",0.000336225996994088,"Information Technology",622436,"USD"
"426","LYV","Live Nation Entertainment Inc.","53803410","B0T7YX2",0.000335695956011319,"Communication Services",1472728,"USD"
"427","HSIC","Henry Schein Inc.","80640710","2416962",0.000334875892604016,"Health Care",1490140,"USD"
"428","HWM","Howmet Aerospace Inc.","44320110","BKLJ8V2",0.000332535711661226,"Industrials",4038295,"USD"
"429","PWR","Quanta Services Inc.","74762E10","2150204",0.000331545635108507,"Industrials",1440996,"USD"
"430","FOXA","Fox Corporation Class A","35137L10","BJJMGL2",0.000329055442566819,"Communication Services",3586979,"USD"
"431","SNA","Snap-on Incorporated","83303410","2818740",0.000325475165739815,"Industrials",571297,"USD"
"432","LUMN","Lumen Technologies Inc.","15670010","2185046",0.000315814418770859,"Communication Services",9991259,"USD"
"433","CPB","Campbell Soup Company","13442910","2162845",0.000315154367735713,"Consumer Staples",2113784,"USD"
"434","LNC","Lincoln National Corporation","53418710","2516378",0.000314724334485542,"Financials",1896811,"USD"
"435","RE","Everest Re Group Ltd.","G3223R10","2556868",0.000311154058431798,"Financials",418694,"USD"
"436","CBOE","Cboe Global Markets Inc","12503M10","B5834C5",0.000311104054565499,"Financials",1135490,"USD"
"437","BWA","BorgWarner Inc.","09972410","2111955",0.000307693790883911,"Consumer Discretionary",2550632,"USD"
"438","GL","Globe Life Inc.","37959E10","BK6YKG1",0.000305823646284331,"Financials",1022787,"USD"
"439","LB","L Brands Inc.","50179710","B9M2WX3",0.000301823336980415,"Consumer Discretionary",2334851,"USD"
"440","WRB","W. R. Berkley Corporation","08442310","2093644",0.000299993195473874,"Financials",1468129,"USD"
