"","symbol","date","open","high","low","close","volume","adjusted"
"1","FB",2019-01-02,128.990005,137.509995,128.559998,135.679993,28146200,135.679993
"2","FB",2019-01-03,134.690002,137.169998,131.119995,131.740005,22717900,131.740005
"3","FB",2019-01-04,134.009995,138,133.75,137.949997,29002100,137.949997
"4","FB",2019-01-07,137.559998,138.869995,135.910004,138.050003,20089300,138.050003
"5","FB",2019-01-08,139.889999,143.139999,139.539993,142.529999,26263800,142.529999
"6","FB",2019-01-09,142.949997,144.699997,141.270004,144.229996,22205900,144.229996
"7","FB",2019-01-10,143.080002,144.559998,140.839996,144.199997,16125000,144.199997
"8","FB",2019-01-11,143.149994,145.360001,142.570007,143.800003,12908000,143.800003
"9","FB",2019-01-14,142,146.570007,141.270004,145.389999,20520300,145.389999
"10","FB",2019-01-15,146.009995,150.679993,145.990005,148.949997,24069000,148.949997
"11","FB",2019-01-16,149,149.649994,147,147.539993,18025700,147.539993
"12","FB",2019-01-17,146.949997,149,146.5,148.300003,15787900,148.300003
"13","FB",2019-01-18,149.75,152.429993,148.550003,150.039993,31029600,150.039993
"14","FB",2019-01-22,149.199997,151.529999,146.369995,147.570007,22378700,147.570007
"15","FB",2019-01-23,148.279999,148.800003,143.059998,144.300003,20098400,144.300003
"16","FB",2019-01-24,144.639999,146.440002,142.520004,145.830002,20955500,145.830002
"17","FB",2019-01-25,147.479996,149.830002,146.539993,149.009995,22237200,149.009995
"18","FB",2019-01-28,148.050003,148.960007,146.210007,147.470001,15508500,147.470001
"19","FB",2019-01-29,148.089996,148.100006,143.429993,144.190002,17632100,144.190002
"20","FB",2019-01-30,146.220001,150.949997,145.699997,150.419998,44613200,150.419998
"21","FB",2019-01-31,165.600006,171.679993,165,166.690002,77233600,166.690002
"22","FB",2019-02-01,165.839996,169.100006,165.660004,165.710007,30806500,165.710007
"23","FB",2019-02-04,165.699997,169.300003,163.619995,169.25,20036000,169.25
"24","FB",2019-02-05,169.149994,171.979996,168.690002,171.160004,22557000,171.160004
"25","FB",2019-02-06,171.199997,172.470001,169.270004,170.490005,13281200,170.490005
"26","FB",2019-02-07,168.199997,169.240005,165.25,166.380005,17517600,166.380005
"27","FB",2019-02-08,164.470001,167.369995,164.210007,167.330002,12561400,167.330002
"28","FB",2019-02-11,167.899994,168.300003,165.080002,165.789993,12811200,165.789993
"29","FB",2019-02-12,166.860001,168.339996,164.5,165.039993,16292300,165.039993
"30","FB",2019-02-13,165.380005,166.220001,163.729996,164.070007,14205100,164.070007
"31","FB",2019-02-14,163.190002,164.869995,162.25,163.949997,12755200,163.949997
"32","FB",2019-02-15,164.509995,164.699997,160.860001,162.5,15504400,162.5
"33","FB",2019-02-19,160.5,164.149994,160.330002,162.289993,14345400,162.289993
"34","FB",2019-02-20,162.25,163.720001,161.25,162.559998,11770700,162.559998
"35","FB",2019-02-21,161.929993,162.240005,159.589996,160.039993,15607800,160.039993
"36","FB",2019-02-22,160.580002,162.410004,160.309998,161.889999,15858500,161.889999
"37","FB",2019-02-25,163.070007,166.070007,162.899994,164.619995,18737100,164.619995
"38","FB",2019-02-26,164.339996,166.240005,163.800003,164.130005,13784100,164.130005
"39","FB",2019-02-27,162.899994,163.929993,160.410004,162.809998,12697500,162.809998
"40","FB",2019-02-28,162.369995,163.5,160.860001,161.449997,11114200,161.449997
"41","FB",2019-03-01,162.600006,163.130005,161.690002,162.279999,11097800,162.279999
"42","FB",2019-03-04,163.899994,167.5,163.830002,167.369995,18894700,167.369995
"43","FB",2019-03-05,167.369995,171.880005,166.550003,171.259995,28187900,171.259995
"44","FB",2019-03-06,172.899994,173.570007,171.270004,172.509995,21531700,172.509995
