"","symbol","date","open","high","low","close","volume","adjusted"
"1","IVE",2020-01-02,130.679993,130.779999,129.940002,130.589996,2280200,127.751678
"2","IVE",2020-01-03,129.330002,129.990005,129.289993,129.660004,956800,126.841904
"3","IVE",2020-01-06,129,129.910004,128.929993,129.869995,1059100,127.04734
"4","IVE",2020-01-07,129.520004,129.589996,129.139999,129.380005,966000,126.568001
"5","IVE",2020-01-08,129.380005,130.300003,129.240005,129.720001,1044700,126.900597
"6","IVE",2020-01-09,130.300003,130.380005,129.910004,130.300003,690100,127.467995
"7","IVE",2020-01-10,130.490005,130.580002,129.690002,129.839996,569000,127.017982
"8","IVE",2020-01-13,130.050003,130.320007,129.710007,130.309998,709300,127.47776
"9","IVE",2020-01-14,130.179993,130.75,130.050003,130.410004,769000,127.575607
"10","IVE",2020-01-15,130.270004,131.009995,130.270004,130.630005,817400,127.790833
"11","IVE",2020-01-16,131.190002,131.600006,131.059998,131.570007,457700,128.710388
"12","IVE",2020-01-17,131.820007,131.860001,131.600006,131.779999,556300,128.915817
"13","IVE",2020-01-21,131.320007,131.660004,131.130005,131.25,763400,128.397339
"14","IVE",2020-01-22,131.559998,131.759995,131.210007,131.320007,469800,128.46582
"15","IVE",2020-01-23,130.940002,131.399994,130.259995,131.309998,658900,128.456039
"16","IVE",2020-01-24,131.410004,131.410004,129.460007,130,967900,127.174515
"17","IVE",2020-01-27,128.160004,128.789993,128.009995,128.210007,1199100,125.423424
"18","IVE",2020-01-28,128.619995,129.509995,128.539993,129.070007,546500,126.264732
"19","IVE",2020-01-29,129.429993,129.520004,128.460007,128.470001,594300,125.677765
"20","IVE",2020-01-30,127.57,129.039993,127.230003,128.949997,1088800,126.147331
"21","IVE",2020-01-31,128.270004,128.369995,126.209999,126.610001,1564100,123.8582
"22","IVE",2020-02-03,127.339996,128.089996,126.940002,127.059998,1167400,124.298416
"23","IVE",2020-02-04,128.509995,129.139999,128.5,128.610001,708700,125.814728
"24","IVE",2020-02-05,129.679993,131,129.679993,130.910004,985600,128.064728
"25","IVE",2020-02-06,131.460007,131.460007,130.770004,130.929993,475400,128.08429
"26","IVE",2020-02-07,130.580002,130.669998,130.009995,130.169998,535000,127.34082
"27","IVE",2020-02-10,129.899994,130.600006,129.899994,130.580002,578000,127.741913
"28","IVE",2020-02-11,131.080002,131.539993,130.960007,131.169998,664300,128.319077
"29","IVE",2020-02-12,131.789993,132.100006,131.5,131.789993,400200,128.925598
"30","IVE",2020-02-13,131.25,131.860001,130.979996,131.550003,436800,128.690826
"31","IVE",2020-02-14,131.729996,131.779999,130.970001,131.429993,350800,128.573425
"32","IVE",2020-02-18,131.199997,131.399994,130.389999,130.940002,465500,128.094086
"33","IVE",2020-02-19,131.259995,131.580002,131.119995,131.330002,509800,128.475601
"34","IVE",2020-02-20,131.089996,131.559998,130.199997,131.190002,734600,128.338654
"35","IVE",2020-02-21,130.639999,130.809998,130.139999,130.630005,3138900,127.790833
"36","IVE",2020-02-24,127.470001,127.889999,126.290001,126.610001,2531500,123.8582
"37","IVE",2020-02-25,126.919998,127,122.25,122.589996,1633800,119.925568
"38","IVE",2020-02-26,123.25,124.169998,121.440002,121.489998,1314900,118.849472
"39","IVE",2020-02-27,119.459999,120.980003,116.290001,116.290001,4393400,113.762489
"40","IVE",2020-02-28,113,114.809998,111.349998,114.629997,3929100,112.138565
"41","IVE",2020-03-02,115.279999,119.800003,113.959999,119.800003,1860600,117.196205
"42","IVE",2020-03-03,119.769997,121.599998,115.400002,116.400002,1778100,113.870094
"43","IVE",2020-03-04,118.790001,121.43,117.830002,121.32,1620300,118.683167
"44","IVE",2020-03-05,118.260002,119.260002,116.190002,117.300003,997600,114.750542
"45","IVE",2020-03-06,113.699997,115.779999,112.75,115.209999,1181700,112.705963
"46","IVE",2020-03-09,106.489998,109.379997,102.639999,105.800003,1495200,103.500488
"47","IVE",2020-03-10,109.68,110.68,105,110.68,1168900,108.274422
"48","IVE",2020-03-11,107.57,108.029999,103.870003,104.959999,1266900,102.678741
"49","IVE",2020-03-12,97.809998,101.139999,93.32,94.339996,3164700,92.289566
"50","IVE",2020-03-13,100,103.120003,94.889999,102.900002,2494600,100.663513
"51","IVE",2020-03-16,91.510002,97.830002,89.019997,91.389999,2371100,89.403679
"52","IVE",2020-03-17,93.129997,97.519997,90.5,96.459999,2237500,94.363487
"53","IVE",2020-03-18,90.949997,93.599998,86.25,91.25,2710600,89.266724
"54","IVE",2020-03-19,90.589996,92.620003,87.099998,90.660004,2643600,88.689545
"55","IVE",2020-03-20,91.540001,91.940002,86.269997,86.709999,2415300,84.825401
"56","IVE",2020-03-23,86.07,86.07,81.699997,82.970001,2802300,81.166687
"57","IVE",2020-03-24,87.589996,91.269997,87,91.010002,1964300,89.031944
"58","IVE",2020-03-25,91,95.699997,88.809998,92.239998,13796200,91.057632
"59","IVE",2020-03-26,93.230003,98.559998,93,97.93,7715000,96.674698
"60","IVE",2020-03-27,94.779999,97.970001,93.980003,95.260002,3330700,94.038925
"61","IVE",2020-03-30,95.800003,98.349998,94.900002,97.989998,7177900,96.733925
"62","IVE",2020-03-31,97.650002,98.32,95.690002,96.25,3167200,95.016235
"63","IVE",2020-04-01,92.720001,93.519997,90.959999,91.940002,3794400,90.761482
"64","IVE",2020-04-02,91.470001,94.779999,91.360001,94.169998,2763100,92.962898
"65","IVE",2020-04-03,93.790001,94.809998,91.660004,92.739998,2195800,91.551224
"66","IVE",2020-04-06,96.190002,99.25,95.800003,98.57,2254900,97.306496
"67","IVE",2020-04-07,102.309998,102.529999,98.809998,98.940002,3310700,97.671753
"68","IVE",2020-04-08,99.959999,103.459999,99.129997,102.940002,3157100,101.620483
"69","IVE",2020-04-09,104.589996,106.690002,103.970001,105.230003,10952300,103.881126
"70","IVE",2020-04-13,104.940002,105.059998,102.029999,103.160004,2349900,101.837669
"71","IVE",2020-04-14,105.230003,105.93,104.160004,105.370003,1699200,104.019333
"72","IVE",2020-04-15,102.830002,103.099998,101.519997,102.410004,5014500,101.097275
"73","IVE",2020-04-16,102.709999,102.809998,101.139999,102.309998,1439800,100.99855
"74","IVE",2020-04-17,104.970001,106.360001,104.190002,106.029999,1758300,104.670868
"75","IVE",2020-04-20,104.040001,105.739998,103.739998,103.849998,1172500,102.518814
"76","IVE",2020-04-21,101.790001,102.699997,100.809998,101.080002,1587200,99.784325
"77","IVE",2020-04-22,102.970001,103.290001,102.080002,102.629997,1398400,101.314445
"78","IVE",2020-04-23,103.07,104.449997,102.589996,102.699997,1097100,101.383553
"79","IVE",2020-04-24,103.309998,104.370003,102.419998,103.989998,969800,102.657021
"80","IVE",2020-04-27,104.68,106.639999,104.559998,106.190002,1154600,104.828827
"81","IVE",2020-04-28,107.940002,108.25,106.279999,106.639999,2048600,105.273048
"82","IVE",2020-04-29,108.669998,109.599998,107.949997,108.699997,1731900,107.306641
"83","IVE",2020-04-30,107.459999,107.559998,106.099998,106.489998,1351100,105.124969
"84","IVE",2020-05-01,104.889999,104.959999,103.089996,103.540001,991300,102.212791
"85","IVE",2020-05-04,102.699997,103.540001,101.940002,103.480003,2619700,102.153557
"86","IVE",2020-05-05,104.610001,105.239998,103.919998,104,2191400,102.666885
"87","IVE",2020-05-06,104.540001,104.739998,102.370003,102.370003,1072800,101.057785
"88","IVE",2020-05-07,103.529999,104.599998,103.190002,103.330002,1219700,102.005486
"89","IVE",2020-05-08,104.849998,105.75,104.459999,105.589996,1118800,104.236511
"90","IVE",2020-05-11,104.699997,105.540001,104.120003,104.839996,1388400,103.496117
"91","IVE",2020-05-12,105.410004,105.559998,102.769997,102.769997,1056400,101.45266
"92","IVE",2020-05-13,102.410004,102.410004,99.690002,100.410004,1871000,99.122917
"93","IVE",2020-05-14,99.279999,101.940002,98.269997,101.870003,1886400,100.564194
"94","IVE",2020-05-15,101.150002,102.150002,100.639999,101.919998,1064200,100.613548
"95","IVE",2020-05-18,104.900002,106.639999,104.900002,106.059998,904500,104.700485
"96","IVE",2020-05-19,105.760002,105.870003,104.290001,104.290001,863400,102.953178
"97","IVE",2020-05-20,105.650002,106.410004,105.410004,105.93,892700,104.572159
"98","IVE",2020-05-21,105.660004,106.160004,104.809998,105.260002,930800,103.910744
"99","IVE",2020-05-22,105.150002,105.32,104.379997,105.260002,910300,103.910744
"100","IVE",2020-05-26,107.940002,108.75,107.720001,107.879997,1597600,106.497154
"101","IVE",2020-05-27,109.949997,110.410004,108.349998,110.370003,1546200,108.955238
"102","IVE",2020-05-28,111.300003,111.419998,109.639999,109.93,1028400,108.520882
"103","IVE",2020-05-29,109.470001,110.150002,108.129997,109.93,1681300,108.520882
"104","IVE",2020-06-01,109.709999,110.610001,109.379997,110.269997,488900,108.856522
"105","IVE",2020-06-02,110.82,111.389999,110.389999,111.349998,830600,109.922676
"106","IVE",2020-06-03,112.589996,113.949997,112.529999,113.559998,4442800,112.104347
"107","IVE",2020-06-04,113.040001,114.129997,112.830002,114.019997,1830200,112.558449
"108","IVE",2020-06-05,117.589996,118.75,117.010002,117.449997,1363000,115.944481
"109","IVE",2020-06-08,118.410004,119.730003,118.169998,119.669998,1307300,118.136032
"110","IVE",2020-06-09,118.080002,118.080002,116.980003,117.370003,1200200,115.865509
"111","IVE",2020-06-10,117.25,117.25,114.949997,114.949997,4953700,113.476532
"112","IVE",2020-06-11,111.190002,111.949997,107.18,107.459999,2333100,106.082542
"113","IVE",2020-06-12,110.650002,110.830002,107.050003,109.190002,1300700,107.790367
"114","IVE",2020-06-15,105.919998,109.970001,105.339996,109.43,1133800,108.652191
"115","IVE",2020-06-16,112.830002,113,109.550003,111.459999,1733200,110.667763
"116","IVE",2020-06-17,111.75,111.75,110.099998,110.260002,769600,109.476295
"117","IVE",2020-06-18,109.419998,110.599998,109.260002,110.239998,571700,109.456436
"118","IVE",2020-06-19,111.839996,111.900002,108.93,109.339996,1078000,108.562828
"119","IVE",2020-06-22,108.940002,109.550003,108.209999,109.239998,643600,108.463539
"120","IVE",2020-06-23,110.360001,110.540001,109.410004,109.419998,717800,108.642265
"121","IVE",2020-06-24,108.470001,108.480003,105.660004,106.360001,789400,105.604019
"122","IVE",2020-06-25,105.980003,107.639999,105.470001,107.510002,938100,106.745842
"123","IVE",2020-06-26,106.889999,107.040001,104.699997,105.220001,1342500,104.472122
"124","IVE",2020-06-29,106.07,107.010002,105.389999,106.970001,1025400,106.209679
"125","IVE",2020-06-30,106.790001,108.75,106.650002,108.209999,1220400,107.440865
"126","IVE",2020-07-01,108.589996,109.300003,107.849998,108.190002,1764800,107.421013
"127","IVE",2020-07-02,109.599998,110.209999,108.459999,108.669998,702500,107.897591
"128","IVE",2020-07-06,110.260002,110.470001,109.260002,109.690002,849700,108.910347
"129","IVE",2020-07-07,108.800003,109.059998,108.089996,108.290001,1013500,107.520294
"130","IVE",2020-07-08,108.370003,108.870003,107.599998,108.470001,1389300,107.69902
"131","IVE",2020-07-09,108.410004,108.43,105.889999,106.769997,1010200,106.011101
"132","IVE",2020-07-10,106.739998,108.769997,106.739998,108.660004,1284600,107.887672
"133","IVE",2020-07-13,109.419998,110.480003,108.589996,108.870003,1281900,108.096176
"134","IVE",2020-07-14,108.519997,110.669998,108.150002,110.550003,1933800,109.764236
"135","IVE",2020-07-15,112.07,112.339996,111.349998,112.029999,1181700,111.233711
"136","IVE",2020-07-16,111.519997,112.510002,111.260002,112.010002,661100,111.21386
"137","IVE",2020-07-17,112.449997,112.709999,111.959999,112.370003,539900,111.571297
"138","IVE",2020-07-20,112.160004,112.300003,111.330002,111.470001,600300,110.677696
"139","IVE",2020-07-21,112.239998,113.440002,112.110001,112.889999,773000,112.087601
